All our dreams can come true, if we have the courage to pursue them.;اگر شجاعت دنبال کردن رویاهایمان را داشته باشیم، همه‌ی آن‌ها ما می‌توانند محقق شوند.;Walt Disney
When life gives you Monday, dip it in glitter and sparkle all day.;وقتی زندگی یک شنبه‌ی دیگر به شما هدیه می‌دهد،تماما آن را  غرق در برکت و درخشش کنید.(توضیح مترجم: نویسنده‌ی اصلی به روز دوشنبه اشاره کرده است ولی من در اینجا روز شنبه را  ذکر کردم، چرا که دوشنبه روز اول هفته‌ی آن‌ها است ولی در کشور ما روز اول هفته، شنبه است);Ella Woodword
Invest in your dreams. Grind now. Shine later.;روی رویاهای خود سرمایه‌گذاری کنید، الان بکارید و بعدا درو کنید!;Unknown
Hustlers don’t sleep, they nap.;تاجرها نمی‌خوابند، آن‌ها فقط چرت می‌زنند.;Unknown
Greatness only comes before hustle in the dictionary.;عظمت فقط در فرهنگ لغت قبل از هرج و مرج آمده است. (توضیح مترجم: در  لغت‌نامه‌ی انگلیسی کلمه‌های Greatness و hustle بنا بر ترتیب حروف الفبای انگلیسی پشت سر هم می‌آیند، منظور نویسنده این است که پیشرفت و بی‌نظمی ارتباطی با هم ندارند);Ross Simmonds
Without hustle, talent will only carry you so far.;بدون تلاش و جنب‌و‌جوش، استعداد فقط شما را به ناکجاآباد خواهد برد.;Gary Vaynerchuk
Work like there is someone working twenty four hours a day to take it away from you.;طوری کار کن که گویی کسی بیست و چهار ساعته در تلاش است تا روزت را  از تو بگیرد.;Mark Cuban
Hustle in silence and let your success make the noise.;در سکوت تلاش کنید و اجازه دهید که موفقیتتان سر و صدا کند.;Unknown
We are what we repeatedly do. Excellence, then, is not an act, but a habit.;ما آنچه هستیم که مدام تکرار می‌کنیم، پس پیشرفت و تعالی یک عمل نیست، بلکه یک عادت است.;Aristotle
I always did something I was a little not ready to do. I think that’s how you grow. When there’s that moment of ‘Wow, I’m not really sure I can do this,’ and you push through those moments, that’s when you have a breakthrough.;"من همیشه کاری را انجام می‌دادم که برای انجام آن چندان آمادگی نداشتم. فکر می‌کنم اینگونه رشد می‌کنید، وقتی با خود می‌گویید: ""اوه، من واقعاً مطمئن نیستم که بتوانم این کار را انجام دهم""، و شما آن لحظات سخت را پشت سر می‌گذارید و آن کار را انجام می‌دهید، آن موقع است که به پیشرفت دست پیدا می‌کنید.";Marissa Mayer
How wonderful it is that nobody need wait a single moment before starting to improve the world.;چقدر شگفت‌انگیز است که هیچکس برای شروع بهبودی در جهان نیازی به لحظه‌ای درنگ ندارد.;Anne Frank
Some people want it to happen, some wish it would happen, others make it happen.;برخی از مردم می‌خواهند اتفاق دلخواهشان بیفتد، برخی آرزو می‌کنند که آن اتفاق بیفتد ولی برخی دیگر آن را  به انجام می‌رسانند.;Michael Jordan
Great things are done by a series of small things brought together;اتفاقات بزرگ مانند پازل از تعدادی اتفاق کوچک در کنار هم شکل می‌گیرند.;Vincent Van Gogh
If you hire people just because they can do a job, they’ll work for your money. But if you hire people who believe what you believe, they’ll work for you with blood and sweat and tears.;اگر افراد را فقط به این دلیل استخدام کنید که توانایی انجام کاری را  دارند، در این صورت برای پولتان کار خواهند کرد. اما اگر افرادی را استخدام کنید که به آنچه شما اعتقاد دارید، باور داشته باشند، با خون و عرق و اشک برای شما کار خواهند کرد.;Simon Sinek
Very often, a change of self is needed more than a change of scene.’;"اغلب اوقات، تغییر در ""خود"" بیش از تغییر در ""شرایط"" مورد نیاز است.";A.C. Benson
Leaders can let you fail and yet not let you be a failure.;رهبران می‌توانند به شما اجازه دهند که شکست بخورید و در عین حال توانایی این را دارند که جلوی شکست شما را بگیرند.;Stanley McChrystal
It’s not the load that breaks you down, it’s the way you carry it.;این بار نیست که باعث شکست شما می‌شود، بلکه نحوه‌ی حمل آن است که باعث می‌شود شکست بخورید.;Lou Holtz
The hard days are what make you stronger.;روزهای سخت همان چیزی است که شما را قوی‌تر می‌کند.;Aly Raisman
If you believe it’ll work out, you’ll see opportunities. If you don’t believe it’ll work out, you’ll see obstacles.;اگر باور داشته باشید که به نتیجه خواهید رسید، فرصت‌هایی را خواهید دید. اگر باور نداشته باشید که به نتیجه خواهید رسید، موانعی را پیش روی خود می‌بینید.;Wayne Dyer
Keep your eyes on the stars, and your feet on the ground.;چشمان خود را روی ستاره‌ها و پاهای خود را روی زمین نگه دارید.;Theodore Roosevelt
You can waste your lives drawing lines. Or you can live your life crossing them.;شما می‌توانید زندگی خود را با کشیدن خطوط و ایجاد موانع تلف کنید و یا می‌توانید زندگی خود را با عبور از آن‌ها شکوفا کنید.;Shonda Rhimes
You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction.;اگر می‌خواهید با رضایت به تخت خواب بروید باید هر روز صبح، مصمم از خواب بیدار شوید.;George Lorimer
I now tried a new hypothesis: It was possible that I was more in charge of my happiness than I was allowing myself to be.;اکنون یک فرضیه‌ی جدید را امتحان کردم: این امکان وجود داشت که من بیش از آن چیزی که به خودم اجازه می‌دادم، مسئول شادی‌ام باشم.;Michelle Obama
In a gentle way, you can shake the world.;می‌توانید به آرامی دنیا را تکان دهید.;Mahatma Gandhi
If opportunity doesn’t knock, build a door.;اگر شانس درب نمی‌زند، دربی بسازید.;Kurt Cobain
Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart.;اجازه ندهید ترس‌های موجود در ذهنتان شما را تحت فشار قرار دهد بلکه اجازه دهید رویاهای درون  قلبتان هدایت‌گر شما کنید.;Roy T. Bennett
Work hard in silence, let your success be the noise.;در سکوت تلاش کنید و اجازه دهید که موفقیتتان سر و صدا کند.;Frank Ocean
